# Layer,Age,tundra,dry_grassland,wet_areas,open_grassland,tundra_open_grassland,lakes_rivers,covered_soil
1.100000000000000000e+01,2.000000000000000000e+04,5.300000000000000000e+01,4.000000000000000000e+00,6.000000000000000000e+00,1.100000000000000000e+01,1.600000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.800000000000000000e+04,7.800000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,7.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.800000000000000000e+04,7.000000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00,1.300000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.700000000000000000e+04,5.900000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,1.300000000000000000e+01,1.500000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.500000000000000000e+04,3.800000000000000000e+01,5.000000000000000000e+00,1.100000000000000000e+01,1.700000000000000000e+01,1.700000000000000000e+01,9.000000000000000000e+00,3.000000000000000000e+00
6.000000000000000000e+00,1.500000000000000000e+04,4.400000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00,2.900000000000000000e+01,1.300000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000000e+00,1.200000000000000000e+04,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,8.400000000000000000e+01,0.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000000e+00,1.200000000000000000e+04,7.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,8.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.800000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00
2.000000000000000000e+00,7.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00
1.000000000000000000e+00,4.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,4.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01
